id,iva_texto,nombre,codigo_barra,descripcion,tipo_producto,costo,pvp,stock,stock_previo,imagen,fecha_caducidad,control_fecha_caducidad,vendible,visible,descuento,estado,fecha_registro,categoria_id,ice_id,iva_id,presentacion_id,ubicacion_id,utilidad,codigo_principal,costo_utilidad,ubicacion_texto
947,IVA 15 %,ACEITE AMALIE 20W50 SINTHETIC BLEND LITRO,Desconocido,Desconocido,1,5.3508,7.5,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.625833,12,Desconocido,1,3.9478260869565216,23.27777777777778,21.88,657699756963,6.5216,Ubicación no definida
948,IVA 15 %,AMALIE 10W30  SYNTHETIC BLEND SN SMCF GALON,Desconocido,Desconocido,1,17.3826,26.5,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:58:47.702074,3,Desconocido,1,3.9478260869565216,23.27777777777778,32.57,657699756772,23.0441,Ubicación no definida
949,IVA 15 %,ACEITE KENDALL 20W50 SEMISINTETICO LITRO,075731212060,Desconocido,1,4.784,7.5,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:58:47.715001,3,Desconocido,1,3.9478260869565216,23.27777777777778,36.32,1081206,6.5215,Ubicación no definida
951,IVA 12 %,AMBIENTAL AMALIE PROMOCIONAL,Desconocido,Desconocido,1,0.01,0.01,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:58:47.736113,12,Desconocido,1,3.9478260869565216,23.27777777777778,0.0,AMBIENTALAMALIE,0.01,Ubicación no definida
952,IVA 12 %,CASTROL ACTEVO 4T 20W50 121,Desconocido,Desconocido,1,3.75,6.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:58:47.748783,12,Desconocido,1,3.9478260869565216,23.27777777777778,42.86,7861023602021,5.3572,Ubicación no definida
953,IVA 12 %,"SC151F SAMURY C1112OIL TOYOTA, DELTA",Desconocido,Desconocido,1,4.71,7.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:58:47.757391,2,Desconocido,1,1.0,23.27777777777778,32.7,20SM020151,6.2502,Ubicación no definida
954,IVA 12 %,QS TRANSMISION HD SAE 85W140 GL5 BD5 GLNS,Desconocido,Desconocido,1,65.18,99.99,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:59:54.235643,12,Desconocido,1,3.9478260869565216,23.27777777777778,36.98,10QS010009,89.2836,Ubicación no definida
955,IVA 12 %,TARJETA HAVOLINE,Desconocido,Desconocido,1,0.0,0.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:59:54.251617,12,Desconocido,1,3.9478260869565216,23.27777777777778,0.0,TARGETAHAVOLINE,0.0,Ubicación no definida
956,IVA 12 %,MASCARILLAS QUIRURGICAS CAJA DE 50 UNIDADES MASK PP2360C,Desconocido,Desconocido,1,0.0,0.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 10:59:54.262024,12,Desconocido,1,3.9478260869565216,23.27777777777778,0.0,MASCARILLA,0.0,Ubicación no definida
957,IVA 12 %,ENGRASADO HINO FC,Desconocido,Desconocido,2,2.55,3.0,1,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 12:47:36.173591,8,Desconocido,1,3.0,23.27777777777778,5.0,Desconocido,2.6775,Ubicación no definida
958,IVA 12 %,QS TRANSMISION HD SAE 85W140 LITRO,Desconocido,Desconocido,1,4.24,5.25,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 13:11:48.174990,3,Desconocido,1,3.0,23.27777777777778,10.55,Desconocido,4.6873,Ubicación no definida
959,IVA 12 %,ADVANCE AFP140 JAC T6 DIESEL KIA SORENTO MAHINDRA DIESEL TRAMPA,Desconocido,Desconocido,1,6.0375,9.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 17:24:01.644701,12,Desconocido,1,3.9478260869565216,23.27777777777778,33.1,AFP140,8.0359,Ubicación no definida
960,IVA 15 %,ADVANCE AFP179 GREAT WALL WINGLE 28 20 HAVAL H5 25 DIESELJAC 10351040ZX AUTO ADMIRAL CD ,Desconocido,Desconocido,1,3.44,9.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 17:24:01.658362,12,Desconocido,1,3.9478260869565216,23.27777777777778,127.5,20GE028179,7.826,Ubicación no definida
961,IVA 12 %,F SHOGUN A6020 AIRE NPR 2001,Desconocido,Desconocido,1,15.2,23.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 17:24:01.669923,12,Desconocido,1,3.9478260869565216,23.27777777777778,35.1,a6020sh4,20.5352,Ubicación no definida
